book_id,title,author,line_number,text
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,1,Each Peach Pear Plum
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,2,I spy Tom Thumb
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,3,Tom Thumb in the cupboard
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,4,I spy Mother Hubbard
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,5,Mother Hubbard down the cellar
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,6,I spy Cinderella
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,7,Cinderella on the stairs
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,8,I spy the Three Bears
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,9,Three Bears out hunting
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,10,I spy Baby Bunting
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,11,Baby Bunting fast asleep
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,12,I spy Bo-Peep
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,13,Bo-Peep up the hill
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,14,I spy Jack and Jill
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,15,Jack and Jill in the ditch
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,16,I spy the Wicked Witch
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,17,Wicked Witch over the wood
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,18,I spy Robin Hood
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,19,Robin Hood in his den
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,20,I spy the Bears again
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,21,Three Bears still hunting
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,22,THEY spy Baby Bunting
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,23,Baby Bunting safe and dry
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,24,I spy Plum Pie
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,25,Plum Pie in the sun
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,26,I spy...
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,27,...EVERYONE!
L102,HUG,JEZ ALBOROUGH,1,HUG
L102,HUG,JEZ ALBOROUGH,2,HUG
L102,HUG,JEZ ALBOROUGH,3,HUG
L102,HUG,JEZ ALBOROUGH,4,HUG
L102,HUG,JEZ ALBOROUGH,5,HUG
L102,HUG,JEZ ALBOROUGH,6,HUG
L102,HUG,JEZ ALBOROUGH,7,HUG
L102,HUG,JEZ ALBOROUGH,8,HUG
L102,HUG,JEZ ALBOROUGH,9,HUG
L102,HUG,JEZ ALBOROUGH,10,BOBO
L102,HUG,JEZ ALBOROUGH,11,HUG
L102,HUG,JEZ ALBOROUGH,12,HUG
L102,HUG,JEZ ALBOROUGH,13,HUG
L102,HUG,JEZ ALBOROUGH,14,HUG
L102,HUG,JEZ ALBOROUGH,15,HUG
L102,HUG,JEZ ALBOROUGH,16,HUG
L102,HUG,JEZ ALBOROUGH,17,HUG
L102,HUG,JEZ ALBOROUGH,18,HUG
L102,HUG,JEZ ALBOROUGH,19,HUG
L102,HUG,JEZ ALBOROUGH,20,HUG
L102,HUG,JEZ ALBOROUGH,21,HUG
L102,HUG,JEZ ALBOROUGH,22,HUG
L102,HUG,JEZ ALBOROUGH,23,HUG
L102,HUG,JEZ ALBOROUGH,24,HUG
L102,HUG,JEZ ALBOROUGH,25,HUG
L102,HUG,JEZ ALBOROUGH,26,HUG
L103,MISS NELSON IS MISSING,HARRY ALLARD,1,The kids in Room 207 were misbehaving again
L103,MISS NELSON IS MISSING,HARRY ALLARD,2,Spitballs stuck to the ceiling.
L103,MISS NELSON IS MISSING,HARRY ALLARD,3,Paper planes whizzed through the air.
L103,MISS NELSON IS MISSING,HARRY ALLARD,4,They were the worst-behaved class in the whole school.
