book_id,title,author,line_number,text
M1,"BARK, GEORGE",JULES FEIFFER,1,George's mother said:
M1,"BARK, GEORGE",JULES FEIFFER,2,"Bark, George."
M1,"BARK, GEORGE",JULES FEIFFER,3,George went: Meow.
M1,"BARK, GEORGE",JULES FEIFFER,4,"No, George, said George's mother."
M1,"BARK, GEORGE",JULES FEIFFER,5,Cats go meow.
M1,"BARK, GEORGE",JULES FEIFFER,6,Dogs go arf.
M1,"BARK, GEORGE",JULES FEIFFER,7,"Now, bark, George."
M1,"BARK, GEORGE",JULES FEIFFER,8,George went: Quack-quack.
M1,"BARK, GEORGE",JULES FEIFFER,9,"No, George, said George's mother."
M1,"BARK, GEORGE",JULES FEIFFER,10,Ducks go quack-quack
M1,"BARK, GEORGE",JULES FEIFFER,11,Dogs go arf.
M1,"BARK, GEORGE",JULES FEIFFER,12,"Now, bark, George."
M1,"BARK, GEORGE",JULES FEIFFER,13,George went: Oink.
M1,"BARK, GEORGE",JULES FEIFFER,14,"No, George, said George's mother."
M1,"BARK, GEORGE",JULES FEIFFER,15,Pigs go oink.
M1,"BARK, GEORGE",JULES FEIFFER,16,Dogs go arf.
M1,"BARK, GEORGE",JULES FEIFFER,17,"Now, bark, George."
M1,"BARK, GEORGE",JULES FEIFFER,18,George went: Moo.
M1,"BARK, GEORGE",JULES FEIFFER,19,George's mother took George to the vet.
M1,"BARK, GEORGE",JULES FEIFFER,20,"I'll soon get to the bottom of this, said the vet."
M1,"BARK, GEORGE",JULES FEIFFER,21,"Please bark, George."
M1,"BARK, GEORGE",JULES FEIFFER,22,George went: Meow.
M1,"BARK, GEORGE",JULES FEIFFER,23,The vet reached deep down inside of George . . .
M1,"BARK, GEORGE",JULES FEIFFER,24,And pulled out a cat.
M1,"BARK, GEORGE",JULES FEIFFER,25,"Bark again, George."
M1,"BARK, GEORGE",JULES FEIFFER,26,George went: Quack-quack.
M1,"BARK, GEORGE",JULES FEIFFER,27,The vet reached deep down inside of George . . .
M1,"BARK, GEORGE",JULES FEIFFER,28,And pulled out a duck.
M1,"BARK, GEORGE",JULES FEIFFER,29,"Bark again, George."
M1,"BARK, GEORGE",JULES FEIFFER,30,George went: Oink.
M1,"BARK, GEORGE",JULES FEIFFER,31,The vet reached deep down inside of George . . .
