"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","workerId","qualtricsId","assignmentId","hitId","iso_identifier","responses","question_prompt","book_id","question_type","char_name","char_num","question_order","book_1","book_2","book_3"
"10180","<img src='img/wisconsinlogo.png' alt='UW-Madison' style='display: block;margin: auto;'/><div style='width: 700px;' align = 'left'><p> The HIT you are about to do is sponsored by University of Wisconsin-Madison. You will complete a quick survey in which you will be shown some images, words, or hear some sounds and asked to make judgments about them. For example, you may be asked how typical a picture of a dog is of dogs in general, or to identify an ambiguous drawing, decide what word a sound makes you think of, to choose which visual pattern best completes a sequence of patterns, or indicate how vividly you see in your mind's eye. HIT instructions will be provided on the next screen.    </p><p> This task has no anticipated risks nor direct benefits. If you have any questions or concerns about this HIT please contact the principal investigator: Dr. Gary Lupyan at lupyan@wisc.edu. If you are not satisfied with response of the research team, have more questions, or want to talk with someone about your rights as a research participant, you should contact University of Wisconsin's Education Research and Social and Behavioral Science IRB Office at 608-263-2320. You are free to decline to participate, to end participation at any time for any reason.  </p> <br> </div>","0","html-button-response","0","10198","0.0-0.0","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","","","","","","","","","",""
"5116","<div style='width: 700px;' align = 'left'><p> In this experiment, you will be shown the text of three children's stories.</p><p> Your job is to carefully read the text and then answer questions about the main characters in the stories. </p><p> To begin, click the button below. </p> <br> ","0","html-button-response","1","16320","0.0-1.0","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","","","","","","","","","",""
"171020","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>Miles got a saxophone for his birthday.<br>**Oh, how nice!**<br>**Wow!**<br>**Squawk!!**<br>**Oh, how awful!**<br>**Keep it down, son!**<br>Miles practiced, and practiced, until his mama and papa couldn't stand it anymore, and his mama said:<br>**Why don't you practice outside, dear?**<br>**Beep!**<br>And so he did, as loud as could be.<br>**Ugh!**<br>**Enough!!**<br>**Too loud!!**<br>**What a racket!**<br>**Unbearable!**<br>**Yuck!**<br>**Dreadful!**<br>**Terrible!**<br>**Harumph!**<br>Miles strolled down Main Street, where he met a drummer named Al;<br>up Swamp Lane, where he met a guitarist named Bert;<br>and over Bayou Bridge, where he met a trumpet player named Doc.<br>'Hey, let's play some music!' said Miles.<br>'Loud music!' said Al.<br>'Let's be a band!' said Bert.<br>'The Swamp Band!' cried Doc.<br>And they played as loud as they could.<br>Soon the whole town cried out: **Swamp bands play in the swamp!!**<br>But down in the swamp at the edge of town the sharp-toothed, long-tailed, yellow-eyed alligators said:<br>**We love that Swamp Band music!!**<br>**You do?**<br>**We like it loud!!**<br>**Really?**<br>**Come and play for the Alligator Ball!**<br>**When?**<br>**Saturday night, after the sun goes down!**<br>**Meet you at the riverboat!!**<br>**We'll be there!**<br>Saturday night when the sun went down, the alligators came from miles around. They were dressed in their finest.<br>The Swamp Band played their favorite song.<br>**Mama don't allow no music playin' 'round here! Mama don't allow no music playin' 'round here!**<br>**Now, we don't care what Mama don't allow, we're gonna play that music anyhow!!**<br>The Swamp Band played far into the night.<br>When the music was over the band was hungry. So were the alligators.<br>**What's for dinner?**<br>**Something tender!**<br>**Something juicy!!**<br>The alligators snapped their jaws and smacked their lips.<br>**Wait! How about one more song before dinner?**<br>**Ok.... but make it short!**<br>**Make it sweet!**<br>And so the band sang...<br>**One and two and.....**<br>A Lullaby of Swampland:<br>**When the moon is rising, and the moss hangs low; when the swamp is quiet, and the waters move slow; that's the time to sing softly, and lay your head awfully far down in the gooey, damp mud.**<br>The alligators fell fast asleep. Miles piloted the riverboat back to Swampville. The Swamp Band tiptoed home, playing that lullaby as quiet as could be.<br>And mama said: **Oh, how nice....**</p>","0","html-button-response","2","188425","0.0-2.0-0.0","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","","","","","","","","","",""
"60851.00000000003","","","survey-text","3","250361","0.0-2.0-1.0-0.0","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""A1"":""play saxophone"",""A2"":""strolled down Main Street"",""A3"":""made a band"",""A4"":""practiced"",""A5"":""went outside""}","<b> List 2-5 main activities MILES does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","L169","activity","MILES,MAMA","0","","","",""
"88206","","","survey-text","4","338603","0.0-2.0-1.0-1.0","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""D1"":""hardworking"",""D2"":""dedicated"",""D3"":""loud"",""D4"":""young"",""D5"":""friendly""}","<b> Use 2-5 words to describe MILES in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","L169","description","MILES,MAMA","0","","","",""
"88472","","","survey-text","5","427113","0.0-2.0-1.1-0.1","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""A1"":""talk to Miles"",""A2"":""send Miles outside"",""A3"":""rest"",""A4"":""complain"",""A5"":""relax""}","<b> List 2-5 main activities MAMA does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","L169","activity","MILES,MAMA","0","","","",""
"167753","","","survey-text","6","594895","0.0-2.0-1.1-1.1","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""D1"":""patient"",""D2"":""polite"",""D3"":""strict"",""D4"":""annoyed"",""D5"":""kind""}","<b> Use 2-5 words to describe MAMA in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","L169","description","MILES,MAMA","0","","","",""
"84255","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>Hi! I'm the<br>bus driver. Listen,<br>I've got to leave<br>for a little while,<br>so can you watch<br>things for me until<br>I get back? Thanks.<br>Oh, and remember:<br>Don't Let<br>the Pigeon<br>Drive the Bus!<br>I thought he'd never leave.<br>Hey, can I drive the bus?<br>Please?<br>I'll be careful.<br>I tell you what: I'll just steer.<br>My cousin Herb drives a bus almost every day!<br>True story.<br>VROOM-VROOM VROOMY VROOM-VROOM!<br>PIGEON AT THE WHEEL!<br>No?<br>I never get to do anything!<br>Hey, I've got an idea.<br>Let's play Drive the Bus!<br>I'll go first!<br>C'mon!<br>Just once around the block!<br>I'll be your best friend!<br>How â€˜bout I give you five bucks?<br>No fair!<br>I bet your mom would let me.<br>What's the big deal!?<br>It's just a bus!!!<br>I have dreams, you know!<br>Fine.<br>LET ME DRIVE THE BUS!!!<br>I'm back!<br>You didn't let the pigeon drive the bus, did you?<br>Great!<br>Thanks a lot.<br>Bye!<br>Hey. . .</p>","0","html-button-response","7","679151","0.0-2.0-0.1","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","","","","","","","","","",""
"96835.00000000012","","","survey-text","8","777018","0.0-2.0-1.2-0.2","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""A1"":""leave"",""A2"":""tell reader to not let the pigeon drive the bus"",""A3"":""come back"",""A4"":""thank the reader"",""A5"":""be thankful""}","<b> List 2-5 main activities THE BUS DRIVER does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","M31","activity","THE BUS DRIVER","0","","","",""
"88876","","","survey-text","9","865941","0.0-2.0-1.2-1.2","67848","NA","","","Mon Sep 21 2020 19:38:27 GMT-0500 (CDT)","{""D1"":""cautious"",""D2"":""warning"",""D3"":""knowledgable"",""D4"":""experienced"",""D5"":""trusting""}","<b> Use 2-5 words to describe THE BUS DRIVER in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","M31","description","THE BUS DRIVER","0","","","",""
