"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","workerId","qualtricsId","assignmentId","hitId","iso_identifier","responses","question_prompt","book_id","question_type","char_name","char_num","question_order","book_1","book_2","book_3"
"1815.2899999986403","<img src='img/wisconsinlogo.png' alt='UW-Madison' style='display: block;margin: auto;'/><div style='width: 700px;' align = 'left'><p> The HIT you are about to do is sponsored by University of Wisconsin-Madison. You will complete a quick survey in which you will be shown some images, words, or hear some sounds and asked to make judgments about them. For example, you may be asked how typical a picture of a dog is of dogs in general, or to identify an ambiguous drawing, decide what word a sound makes you think of, to choose which visual pattern best completes a sequence of patterns, or indicate how vividly you see in your mind's eye. HIT instructions will be provided on the next screen.    </p><p> This task has no anticipated risks nor direct benefits. If you have any questions or concerns about this HIT please contact the principal investigator: Dr. Gary Lupyan at lupyan@wisc.edu. If you are not satisfied with response of the research team, have more questions, or want to talk with someone about your rights as a research participant, you should contact University of Wisconsin's Education Research and Social and Behavioral Science IRB Office at 608-263-2320. You are free to decline to participate, to end participation at any time for any reason.  </p> <br> </div>","0","html-button-response","0","1818","0.0-0.0","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","","","","","","","","","",""
"5593.779999995604","<div style='width: 700px;' align = 'left'><p> In this experiment, you will be shown the text of three children's stories.</p><p> Your job is to carefully read the text and then answer questions about the main characters in the stories. </p><p> To begin, click the button below. </p> <br> ","0","html-button-response","1","8413","0.0-1.0","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","","","","","","","","","",""
"64098.67999999551","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>If you give a mouse a cookie, he's going to ask for a glass of milk.<br>When you give him the milk, he'll probably ask you for a straw.<br>When he's finished, he'll ask for a napkin.<br>Then he'll want to look in a mirror to make sure he doesn't have a milk mustache.<br>When he looks into the mirror, he might notice his hair needs a trim.<br>So he'll probably ask for a pair of nail scissors.<br>When he's finished giving himself a trim, he'll want a broom to sweep up.<br>He'll start sweeping.<br>He might get carried away and sweep every room in the house.<br>He may even end up washing the floors as well!<br>When he's done, he'll probably want to take a nap.<br>You'll have to fix up a little box for him with a blanket and a pillow.<br>He'll crawl in, make himself comfortable and fluff the pillow a few times.<br>He'll probably ask you to read him a story.<br>So you'll read to him from one of your books, and he'll ask to see the pictures.<br>When he looks at the pictures, he'll get so excited he'll want to draw one of his own.<br>He'll ask for paper and crayons.<br>He'll draw a picture.<br>When the picture is finished, he'll want to sign his name with a pen.<br>Then he'll want to hang his picture on your refrigerator.<br>Which means he'll need Scotch tape.<br>He'll hang up his drawing and stand back to look at it.<br>Looking at the refrigerator will remind him that he's thirsty.<br>So. . . he'll ask for a glass of milk.<br>And chances are if he asks for a glass of milk, he's going to want a cookie to go with it.</p>","0","html-button-response","2","73515","0.0-2.0-0.0","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","","","","","","","","","",""
"53474.984999978915","","","survey-text","3","128000","0.0-2.0-1.0-0.0","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""A1"":""drink"",""A2"":""trim"",""A3"":""sweep"",""A4"":""see"",""A5"":""eat""}","<b> List 2-5 main activities MOUSE does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","M42","activity","MOUSE","0","","","",""
"102201.37999998406","","","survey-text","4","230207","0.0-2.0-1.0-1.0","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""D1"":""hungry"",""D2"":""hygienic"",""D3"":""excited"",""D4"":"""",""D5"":""""}","<b> Use 2-5 words to describe MOUSE in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","M42","description","MOUSE","0","","","",""
"11400.240000046324","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>One day Olivia was riding a camel in Egypt. . .<br>When her mother woke her up.<br>Time to get up, sweetie-pie.<br>Remember, you have soccer this morning.<br>Olivia's uniform comes in a really unattractive green.<br>Mommy, can you make me a red soccer shirt like this one?<br>Please?<br>But then you'll look different from everyone else on the team, explained her mother.<br>That's the point.<br>When Olivia came home from practice, her mother was working on the shirt.<br>Is it done yet? she asked.<br>Not yet, said her mother.<br>Olivia waited, and waited, and waited, till she was too exhausted to wait any longer.<br>So she went out to play with the cat.<br>Look, darling, it's all done! said her mother.<br>But something was missing.<br>Wait a second, said Olivia.<br>Where's my toy?<br>Where's my toy?<br>It was right there on the bed.<br>I just put it there.<br>I remember exactly.<br>That's my best toy.<br>I need it now!<br>Somebody took my best toy!<br>Olivia looked everywhere-under the rug, under the sofa, under the cat.<br>She asked her little brother, Ian, WHAT DID YOU DO WITH MY TOY?<br>She asked her baby brother, William, WHAT DID YOU DO WITH MY TOY?<br>Wooshee gaga.<br>That night, and it was a dark and stormy night, Olivia was practicing her piano when she heard an awful sound.<br>The sound got louder and louder.<br>It was HORRIBLE, and it was coming from behind the door.<br>So, of course, Olivia went inside.<br>And that's when she saw it.<br>It was. . . THE DOG!<br>And he'd chewed her toy to bits.<br>Mommy, Daddy, Mommy, Daddy!<br>It was Perry! cried Olivia.<br>He took my best toy and chewed it to bits, and now it's wrecked.<br>I'm sorry, sweetie-pie, said her mother, but doggies like to chew.<br>And he didn't know it was your toy.<br>My best toy.<br>Don't worry, said Olivia's father.<br>Tomorrow we'll go get you the very best toy in the whole world.<br>Oh, thank you, Daddy.<br>I love you more than anyone.<br>Still, it was Olivia's best toy.<br>So she fixed it, adding a bow for extra beauty.<br>All better.<br>Only books about cats tonight, Mommy.<br>But even Olivia couldn't stay mad forever.</p>","0","html-button-response","5","241612","0.0-2.0-0.1","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","","","","","","","","","",""
"122307.40499997046","","","survey-text","6","364928","0.0-2.0-1.1-0.1","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""A1"":""ride"",""A2"":""play"",""A3"":""practice"",""A4"":""cry"",""A5"":""go""}","<b> List 2-5 main activities OLIVIA does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","M69","activity","OLIVIA,OLIVIA'S MOTHER","0","","","",""
"69211.95000002626","","","survey-text","7","434146","0.0-2.0-1.1-1.1","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""D1"":""impatient"",""D2"":""playful"",""D3"":""excited"",""D4"":""angry"",""D5"":""""}","<b> Use 2-5 words to describe OLIVIA in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","M69","description","OLIVIA,OLIVIA'S MOTHER","0","","","",""
"52628.78999998793","","","survey-text","8","486787","0.0-2.0-1.2-0.2","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""A1"":""wake"",""A2"":""work"",""A3"":""talk"",""A4"":"""",""A5"":""""}","<b> List 2-5 main activities OLIVIA'S MOTHER does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","M69","activity","OLIVIA,OLIVIA'S MOTHER","0","","","",""
"97282.42000000319","","","survey-text","9","584073","0.0-2.0-1.2-1.2","69614","NA","","","Tue Sep 22 2020 05:25:58 GMT+0530 (India Standard Time)","{""D1"":""caring"",""D2"":""mature"",""D3"":""loving"",""D4"":"""",""D5"":""""}","<b> Use 2-5 words to describe OLIVIA'S MOTHER in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","M69","description","OLIVIA,OLIVIA'S MOTHER","0","","","",""
