tsne_X,tsne_Y,word,gender,cluster_id
3.370599993,2.916154665,cast,2.714285714,1
3.121723004,4.136959614,double,3.071428571,1
2.501704558,3.775779141,each,3.142857143,1
2.142994345,5.261558232,eight,2.9,1
3.599590251,7.284064348,first,2.857142857,1
2.186565209,5.273765708,five,2.928571429,1
2.230926271,5.035480496,four,3,1
3.350095415,7.555783642,fourth,2.928571429,1
3.35874437,5.377014888,half,2.833333333,1
4.334366607,6.393305545,last,3,1
4.651003745,6.064477673,next,3.066666667,1
2.106253296,5.35281862,nine,3.083333333,1
3.403702917,7.42591545,second,2.8,1
2.11642775,5.31454328,seven,2.866666667,1
2.188759099,5.246733046,six,3.1,1
2.157447988,5.560435399,ten,3,1
3.384779592,7.492848486,third,2.857142857,1
2.349243467,4.90782692,three,2.833333333,1
5.904228041,6.338206869,till,2.9375,1
4.764006079,5.890839823,time,2.733333333,1
3.683911631,5.685154079,times,3,1
3.362643559,7.198432924,top,3.142857143,1
5.02055711,5.720841722,trip,2.642857143,1
2.069592873,5.583553185,twenty,3.1875,1
3.705485545,6.094351643,twice,3.076923077,1
2.48842272,4.406822559,two,3.142857143,1
2.243122367,6.758802053,year,3.1,1
2.323138437,6.370490883,years,2.9375,1
-12.59909426,-22.88758397,arms,2.714285714,2
-7.79577676,-26.85701203,bobbin,3.642857143,2
-10.50769114,-25.90386989,boots,2.333333333,2
-12.20154428,-24.31442387,cap,2.6,2
-10.980072,-27.56489362,clothes,3.266666667,2
-12.50012847,-23.06105773,coat,3.142857143,2
-12.61284373,-24.96305274,collar,2.428571429,2
-9.844105311,-25.02353414,corduroy,2.857142857,2
-11.91250844,-27.84817632,costumes,3.428571429,2
-9.453630909,-26.31949813,diaper,3.615384615,2
-10.80444391,-27.93458517,drapes,4.142857143,2
-11.82421838,-27.35208716,dress,4.928571429,2
-11.97334981,-27.46071478,dressed,3.75,2
-11.60360453,-23.0460842,fur,3.642857143,2
-11.61593617,-26.19811659,gloves,3,2
-11.97953957,-24.40801474,hat,2.214285714,2
-12.38866553,-25.55663872,helmet,2.076923077,2
-11.80763037,-25.80507315,jacket,3.333333333,2
-8.761410084,-27.61152921,knit,4.307692308,2
-10.13908782,-25.5563654,mittens,3.785714286,2
-10.62098638,-26.36961315,pajamas,4,2
-10.91792806,-26.14084873,pants,2.357142857,2
-9.676981449,-24.82825419,petticoat,4.307692308,2
-13.03246888,-25.02430331,ribbons,4.428571429,2
-6.911028396,-27.19477696,rug,3.071428571,2
-8.581036095,-27.63957161,sew,4.071428571,2
-9.455759706,-25.96668818,shoe,2.833333333,2
-10.23446385,-26.11436192,shoes,3.4,2
-10.93542172,-26.06597912,shorts,3.285714286,2
-7.874793778,-27.21296302,silk,4.071428571,2
-10.68889328,-26.16747547,sneakers,2.533333333,2
-9.296856333,-25.47719467,stocking,3.846153846,2
-11.96201714,-25.66741044,suit,1.866666667,2
-11.18460349,-25.93629352,sweater,3.5,2
-10.14966629,-27.73746162,towels,3.5,2
-12.39104271,-26.8297629,wear,3.357142857,2
-12.05807721,-26.87392207,wearing,3.5,2
-12.3282934,-26.77054043,worn,3.076923077,2
-7.824428262,-27.11827228,yarn,3.923076923,2
17.65680397,7.536370741,accident,3,3
21.02042907,6.795877723,afraid,3.071428571,3
21.79421702,5.644392787,amazed,3.307692308,3
21.17122996,7.555623365,anxious,3.285714286,3
18.1490618,6.686017439,busy,3.1875,3
22.43640241,6.267904361,delighted,3.928571429,3
19.86120079,8.42099808,feeling,3.9,3
19.8345847,7.903180955,feelings,4,3
19.17637169,6.554234761,hurt,2.75,3
21.13893448,7.912967047,impatient,3.066666667,3
21.89698047,7.170127114,longed,3,3
18.9730545,6.412729676,mend,3.857142857,3
22.48405246,6.179304962,pleased,3.733333333,3
20.92902877,5.687885834,surprise,3.3,3
21.47470341,5.640246204,surprised,3.142857143,3
20.4694044,8.719133297,tired,3.071428571,3
18.21493866,6.567540304,trouble,2.357142857,3
17.799529,7.368433044,troubles,2.615384615,3
20.95906204,7.340953311,unhappy,3,3
20.16261488,6.605524331,upset,3,3
20.88321314,7.068710746,worried,3.357142857,3
10.36843214,-3.259115064,ago,3.2,4
9.285188244,-2.109098832,belong,3.235294118,4
10.34726742,-4.313680375,course,2.714285714,4
11.09357897,-5.198134286,fault,2.846153846,4
9.130607917,-6.162145324,found,2.714285714,4
8.940201054,-2.29244051,have,2.928571429,4
11.37184552,-4.47492657,just,3,4
8.804923546,-2.553286026,least,3.142857143,4
10.93887786,-7.029306124,missing,3.071428571,4
8.913814133,-3.062633318,more,3,4
7.861423447,-4.558696503,often,3.2,4
7.980556743,-5.187027447,plain,3.2,4
10.81044465,-4.895533537,point,2.923076923,4
11.00893032,-4.540228016,right,3,4
9.191074224,-5.298031174,seen,3.285714286,4
7.870984082,-4.656461894,sometimes,3.285714286,4
8.902357801,-3.033883823,than,2.916666667,4
9.125035388,-4.186447216,usual,3,4
7.952575235,-4.562376034,usually,3,4
10.05224662,-5.402612801,view,3.461538462,4
10.89907072,-3.978772886,way,3.142857143,4
10.28263631,-2.693412546,ways,3,4
-11.31730823,2.750252543,bells,3.571428571,5
-13.73585737,-0.126729296,blaze,2.1,5
-11.46816904,2.791404523,brass,2.571428571,5
-9.469398881,3.300061621,cozy,3.733333333,5
-15.61411882,1.823437357,crusher,2.142857143,5
-15.78843891,1.909763763,digger,2.428571429,5
-11.78277788,2.801877717,drum,2.25,5
-11.56892382,-0.192211687,frisbee,3.214285714,5
-14.32365396,2.891990667,hatch,3.230769231,5
-11.9799403,3.325659375,horn,2.5,5
-13.13806696,1.751313852,mixer,3.142857143,5
-12.48661556,2.937013623,rattle,2.785714286,5
-11.56519473,0.179106329,roller,2.583333333,5
-15.06561262,0.973412884,spike,1.733333333,5
-21.05673188,12.04533972,baker,3.357142857,6
-20.74881147,10.43121914,bell,3.571428571,6
-20.2641539,9.876021849,bush,3.214285714,6
-21.77431557,10.03637925,chase,2.5,6
-20.91404661,12.13851329,dawson,1.466666667,6
-21.11806885,11.35135529,dibble,3.384615385,6
-21.95382896,9.065100622,fox,3.5,6
-22.51392969,13.69951721,grover,1.5,6
-22.22144031,10.98249996,hood,2.153846154,6
-21.12334973,11.8513647,horton,1.6,6
-21.84129707,9.72770376,hunter,1.785714286,6
-21.74202438,12.71878471,joyner,3.5,6
-25.25770263,12.56427087,lilly,5,6
-21.96530783,12.34659749,mack,1.379310345,6
-21.75892194,12.65021197,mcgee,1.8,6
-21.57920978,11.56299713,mcgregor,1.384615385,6
-20.91976939,12.26268687,morris,1.5,6
-22.99454706,12.07632839,nutbrown,2.1,6
-21.12561362,11.38825535,peck,3.176470588,6
-23.68834969,10.89651819,piper,2.714285714,6
-19.02078168,9.03390109,prairie,3.083333333,6
-23.79889362,10.95723339,robin,3.4,6
-25.36849284,12.4796642,rose,4.333333333,6
-21.86206072,11.78344309,ryder,2,6
-20.9620623,12.13939358,smith,2,6
-20.24332,8.095585839,tembo,2.9,6
-22.28660233,11.55894427,tuck,2.230769231,6
-3.791644262,-13.78704443,bent,2.857142857,7
-7.209092148,-15.55980089,body,3.307692308,7
-9.158842303,-12.73860554,bubbles,3.846153846,7
-6.501737989,-15.52771791,chin,2.428571429,7
-6.46272765,-13.41598031,comb,3.142857143,7
-6.968932823,-12.4804384,cone,2.642857143,7
-3.802931998,-13.70699449,crooked,2.470588235,7
-5.362870739,-14.87159481,face,3.4,7
-5.312001966,-14.76715251,faces,3.214285714,7
-6.054814513,-15.16689273,head,2.7,7
-5.879312696,-14.90395342,heads,3.076923077,7
-8.981147575,-15.13131496,hump,2.857142857,7
-4.646648865,-12.03863246,piece,3.153846154,7
-5.71816004,-11.55459674,purse,4.692307692,7
-7.03230653,-12.78662211,shape,3.153846154,7
-7.194309369,-12.77978036,shapes,3.176470588,7
-3.956427174,-13.6191412,sharp,2.4,7
-8.535977224,-12.57777919,snowflakes,3.714285714,7
