book_id,title,corpus_type,token_ci_lower,token_ci_upper,token_gender_mean,type_ci_lower,type_ci_upper,type_gender_mean,prop_present_token,prop_present_type
M1,"BARK, GEORGE",all,2.5116662244006,2.783968440413753,2.6522779304029305,2.7785982905982904,3.192617673992674,2.984798534798535,0.9072164948453608,0.8035714285714286
M2,BLUEBERRIES FOR SAL,all,3.100650531726338,3.214192083185632,3.1570584898971994,2.9379305227930885,3.068403680743341,3.0056814912835854,0.8990719257540604,0.8268398268398268
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",all,2.9023245984784447,3.0678224339762803,2.9861676784753706,2.8128725749559083,3.2383162053995385,3.0213675213675213,0.934640522875817,0.9642857142857143
M4,"CLICK, CLACK, MOO COWS THAT TYPE",all,2.7693818862500206,2.9401522790147876,2.8597395399308936,2.8782580320966997,3.0640457825286975,2.9662040909878282,0.756838905775076,0.8095238095238095
M5,CLOUDY WITH A CHANCE OF MEATBALLS,all,2.9791252388578835,3.033392168403252,3.006506721363988,2.9744635707429823,3.067567599679732,3.020607015533486,0.8165938864628821,0.7066381156316917
M6,CORDUROY,all,2.8597881645071013,2.9943852179481976,2.9322505448357963,2.9705533957757106,3.1184304928343494,3.0433886400130916,0.8793103448275862,0.8449612403100775
M7,CURIOUS GEORGE,all,2.60577983234714,2.698246676232,2.6506089558215065,2.8643707014804005,2.9970356838873435,2.9295878740899486,0.9127864005912787,0.8339100346020761
M8,LOVE YOU FOREVER,all,2.8370337048249104,2.9827885756517634,2.9100871492288207,2.8949395228739268,3.11166343359206,3.006569874913528,0.9085457271364318,0.910958904109589
M9,THE CARROT SEED,all,2.7404993216922398,3.02645472472896,2.8895559387722702,2.583884654289066,3.0983781314341976,2.8419207426560367,0.8735632183908046,0.8372093023255814
M10,THE SNOWY DAY,all,2.5294003881334697,2.7480847888139825,2.6438723901178354,2.8036840777034797,2.986845674921552,2.8990459834009017,0.900398406374502,0.8561151079136691
M11,CAPS FOR SALE,all,2.5763776352723364,2.70078536341376,2.639350812231247,2.815544078689168,2.965158702904239,2.8914710884353743,0.8614232209737828,0.89171974522293
M12,GUESS HOW MUCH I LOVE YOU,all,2.7862078842725904,2.954452488442929,2.8729976396152868,2.8960008533777883,3.0837480487134123,2.9905908152734777,0.8870967741935484,0.8715596330275229
M13,HAROLD AND THE PURPLE CRAYON,all,2.5183850324412558,2.680499937204116,2.604137206647967,2.876465565598822,3.026728703675282,2.9540121205336454,0.9241803278688525,0.8689320388349514
M14,THE KEEPING QUILT,all,3.238853297763595,3.391120735369726,3.3207150965301055,3.0228781264538305,3.2199446652170973,3.1232107308695913,0.7467532467532467,0.6666666666666666
M15,THE OTHER SIDE,all,3.1683790427469596,3.272418834031814,3.2210782994026803,3.0236239704890053,3.1670726898552948,3.09245931571009,0.8926441351888668,0.9004739336492891
M16,GOOD NIGHT GORILLA,all,2.8880982819264065,3.2071465773809527,3.0441964285714285,2.222879464285714,3.419200148809524,2.8126488095238096,0.9361702127659575,0.7272727272727273
M17,MADELINE,all,3.1327737382593335,3.2930515431946117,3.213922538629468,2.9888428425947846,3.172852009777367,3.0810195069360353,0.8593272171253823,0.7888888888888889
M18,MAKE WAY FOR DUCKLINGS,all,2.9533191322184504,3.0367300609468164,2.996226383340999,2.9124295674465466,3.0365574018185715,2.974753356588439,0.7995444191343963,0.7746478873239436
