book_id,n_reviews_total,n_reviews_gendered,prop_review_gendered,char_only,no_char,child_gender,addressee_gender_score_token
L101,304,68,0.2236842105263158,3.9185185185185185,2.999527862847535,0.5263157894736842,0.6707317073170732
L102,199,65,0.32663316582914576,NA,3.857142857142857,0.4444444444444444,0.49382716049382713
L103,300,64,0.21333333333333335,2.679120879120879,3.2071706844406602,NA,0.5394736842105263
L104,700,149,0.21285714285714286,1.1767121767121766,3.1308581001207823,0.4,0.5397727272727273
L106,106,37,0.3490566037735849,3.8717633001918714,3.0339631792099566,NA,0.6730769230769231
L107,87,41,0.47126436781609193,1.6736842105263157,2.764093182281096,0.2857142857142857,0.14583333333333334
L108,106,45,0.42452830188679247,1.2297417271993543,2.8693042258156165,NA,0.14285714285714285
L109,279,64,0.22939068100358423,3.9640686474019806,2.9901829723319095,NA,0.7837837837837838
L110,34,6,0.17647058823529413,2.175062656641604,3.0550208821106652,NA,0.4444444444444444
L111,108,21,0.19444444444444445,2.068067226890756,2.920505351228517,NA,0.32
L113,79,23,0.2911392405063291,1.3383116883116883,3.1274394696539094,NA,0.28125
L114,337,107,0.31750741839762614,NA,2.8892011834319526,0.5,0.49206349206349204
L115,520,141,0.27115384615384613,NA,3.0868662738227957,0.4375,0.4076086956521739
L116,520,142,0.27307692307692305,2.5615384615384613,3.2083169402613847,0.5454545454545454,0.467005076142132
L117,440,126,0.2863636363636364,NA,2.8155462184873947,0.3333333333333333,0.43312101910828027
L118,432,107,0.24768518518518517,4.6,2.9293907203907206,0.5238095238095238,0.46825396825396826
L119,470,154,0.3276595744680851,NA,2.8217589599942543,0.625,0.5240641711229946
L120,318,108,0.33962264150943394,NA,2.9777404464904467,0.47368421052631576,0.5251798561151079
L121,168,51,0.30357142857142855,NA,3.1404623280188892,0.2,0.4745762711864407
L122,490,144,0.2938775510204082,NA,3.0869810744810744,0.4838709677419355,0.6416184971098265
L123,117,54,0.46153846153846156,3.8333333333333335,3.116626287098728,0.6666666666666666,0.5652173913043478
L124,640,199,0.3109375,NA,2.7565326067375246,0.2222222222222222,0.4551971326164875
L125,400,117,0.2925,NA,3.0932392927585237,0.42857142857142855,0.5732484076433121
L126,420,135,0.32142857142857145,NA,3.205023296447292,0.5882352941176471,0.5
L127,620,161,0.25967741935483873,NA,3.0419883241758243,0.49122807017543857,0.5247524752475248
L128,145,42,0.2896551724137931,NA,3.1533702587734846,0.625,0.5283018867924528
L129,27,7,0.25925925925925924,3.370748299319728,2.967950559976422,NA,0.4
L130,232,73,0.3146551724137931,1.2397435897435898,2.960588461851786,0.6666666666666666,0.4157303370786517
L131,9,NA,NA,1.5264150943396226,3.0133115337481144,NA,NA
L132,390,117,0.3,1.2666666666666666,2.947141634653064,0.4666666666666667,0.46496815286624205
L133,134,46,0.34328358208955223,NA,3.1236652202728,NA,0.4807692307692308
L134,164,8,0.04878048780487805,3.0166666666666666,3.0331445281146476,NA,0.3333333333333333
L136,190,58,0.30526315789473685,4.685185185185185,2.8486854041397742,NA,0.2
L138,440,143,0.325,NA,2.908785203867171,0.6,0.41916167664670656
L139,430,152,0.35348837209302325,3.897959183673469,3.2621913223740746,NA,0.9679144385026738
L140,130,51,0.3923076923076923,NA,3.0197910155797856,0.42857142857142855,0.3972602739726027
L141,430,138,0.3209302325581395,4.375251609232191,3.011209423789709,NA,0.8863636363636364
L142,420,152,0.3619047619047619,5,3.3269032356532358,NA,0.9833333333333333
L143,390,80,0.20512820512820512,1,3.104861111111111,NA,0.5
L144,11,3,0.2727272727272727,2.6076923076923078,2.9827710802269625,NA,0.6666666666666666
L145,419,143,0.3412887828162291,1.3007002801120449,3.072749738007091,NA,0.3430232558139535
L146,410,132,0.32195121951219513,NA,3.2683119941633874,0.3,0.40804597701149425
L147,354,112,0.3163841807909605,NA,3.096718435384764,0.3333333333333333,0.460431654676259
L148,599,200,0.333889816360601,2.713392857142857,3.103174612289273,0.42857142857142855,0.47280334728033474
L149,410,105,0.25609756097560976,4.00109946319665,3.020248033501403,NA,0.904
L150,540,151,0.2796296296296296,1.5376488095238094,3.007073269396516,0.40384615384615385,0.3728813559322034
L151,560,157,0.28035714285714286,1.7112637362637362,2.9392899705927875,0.4444444444444444,0.40540540540540543
L153,420,105,0.25,NA,2.831341637472428,0.40625,0.34328358208955223
L154,420,96,0.22857142857142856,NA,3.2584592775354997,0.5454545454545454,0.5748031496062992
L155,334,83,0.24850299401197604,NA,3.26385502518315,0.35714285714285715,0.5648148148148148
L156,160,26,0.1625,3.1,2.9643699168063575,NA,0.40625
L157,236,55,0.2330508474576271,2.0862155388471177,3.145524542124542,NA,0.52
L158,457,101,0.2210065645514223,1.753121693121693,2.9242615212701075,NA,0.4424778761061947
L159,104,29,0.27884615384615385,4.699999999999999,3.0725583169658397,NA,0.6176470588235294
L160,317,150,0.47318611987381703,4.6,3.123559640713896,0.8571428571428571,0.5570776255707762
L161,510,222,0.43529411764705883,2.3223443223443225,2.9079048671085226,NA,0.2723735408560311
L162,426,130,0.3051643192488263,1.1357142857142857,3.0093365899871656,NA,0.42528735632183906
L163,40,9,0.225,NA,2.8886278195488724,0.5714285714285714,0.7
L164,20,6,0.3,3.728633630520423,3.0262282274950114,NA,0.8333333333333334
L165,420,78,0.18571428571428572,NA,3.108282800299607,NA,0.5280898876404494
L166,430,144,0.33488372093023255,1.4917582417582418,2.9651287438052143,0.5882352941176471,0.46113989637305697
L167,178,59,0.33146067415730335,2.0150663544106164,3.100567675995607,NA,0.37333333333333335
L168,324,93,0.28703703703703703,NA,3.1202827750206783,0.2857142857142857,0.5409836065573771
L169,20,3,0.15,1.862124542124542,3.0206809286214487,NA,0.75
L170,97,31,0.31958762886597936,1.1891590678824722,3.102965416936005,0.42857142857142855,0.225
L171,118,36,0.3050847457627119,1.241304347826087,2.982080689825788,0.36363636363636365,0.40425531914893614
L172,390,67,0.1717948717948718,1.7443181339733063,3.056484487209952,NA,0.425
L173,11,2,0.18181818181818182,2.0681914984240564,3.0749625289337006,NA,1
L174,620,221,0.3564516129032258,3.6904761904761907,3.3793727106227105,0.4666666666666667,0.5518518518518518
L175,111,25,0.22522522522522523,1.427687324929972,2.9802351691236613,NA,0.48484848484848486
L176,619,171,0.2762520193861066,1.2666666666666666,2.954132326007326,0.4,0.5373134328358209
L177,410,92,0.22439024390243903,1,2.9453826402355814,0.7777777777777778,0.488
L178,563,243,0.43161634103019536,2.3829931972789113,3.0145887468589065,NA,0.4583333333333333
L179,272,65,0.23897058823529413,2.0278618817080356,3.1015952485656864,NA,0.5
L180,530,134,0.2528301886792453,3.8212454212454214,3.0022537112010794,0.625,0.5
L181,56,10,0.17857142857142858,1.5646607360893074,2.9770333712495134,NA,0.42857142857142855
L182,23,7,0.30434782608695654,NA,2.9726121124778415,NA,0.5
L183,420,199,0.4738095238095238,NA,2.895755930577359,0,0.1509433962264151
L184,265,81,0.30566037735849055,1.1390946502057613,2.987162270566072,NA,0.5416666666666666
L185,410,125,0.3048780487804878,4.928571428571429,3.248270027074375,NA,0.5657894736842105
L186,449,109,0.24276169265033407,2.2697994987468673,3.045449238669827,NA,0.4563758389261745
L187,340,44,0.12941176470588237,NA,3.251291122399613,NA,0.5454545454545454
L188,639,163,0.25508607198748046,NA,3.039895488109774,NA,0.581151832460733
L189,1220,308,0.25245901639344265,NA,2.8657973668843235,0.6,0.42480211081794195
L190,410,120,0.2926829268292683,NA,2.849029799029799,0.5555555555555556,0.5
L191,610,259,0.4245901639344262,1.9333333333333333,2.95739032327907,NA,0.40285714285714286
L192,537,154,0.28677839851024206,1.2336507936507937,3.0071744505494507,NA,0.24878048780487805
L193,440,135,0.3068181818181818,4.6,3.0487020323737077,0.45454545454545453,0.4
L194,203,63,0.3103448275862069,NA,2.8293083771970324,NA,0.1506849315068493
L195,610,104,0.17049180327868851,1.7116305019792855,3.0360832672987,NA,0.4609375
L196,123,36,0.2926829268292683,4.633673469387755,2.9106415758776274,NA,0.4727272727272727
L197,406,99,0.2438423645320197,2.315942028985507,2.963222596731,NA,0.375886524822695
L198,117,28,0.23931623931623933,1.8227513227513228,2.705230272982374,0.5263157894736842,0.41025641025641024
L199,248,36,0.14516129032258066,1.893647815599035,3.0309447932511415,NA,0.48
L200,291,111,0.38144329896907214,1.8524644945697577,2.8630698586048364,NA,0.064
L201,410,115,0.2804878048780488,4.447521865889213,3.0882598148196583,NA,0.8142857142857143
L202,75,19,0.25333333333333335,4.241496598639456,3.012608472397761,NA,0.5
L203,590,216,0.36610169491525424,NA,3.0997119815668204,0.5,0.4254545454545455
L204,510,117,0.22941176470588234,3.981818181818182,3.135844314251522,NA,0.6293706293706294
L205,450,137,0.30444444444444446,1.2,2.9955223595848595,0.4444444444444444,0.3471502590673575
L207,96,48,0.5,NA,3.0508537348727223,0.1111111111111111,0.463768115942029
L208,700,164,0.2342857142857143,2.857142857142857,3.081784188034188,NA,0.43010752688172044
L209,546,160,0.29304029304029305,NA,3.00364658270256,NA,0.45789473684210524
L210,395,132,0.3341772151898734,NA,3.1703631392926876,0.36363636363636365,0.5465116279069767
L211,470,142,0.3021276595744681,4.697052154195012,3.1002336278551113,NA,0.7040816326530612
L213,620,288,0.4645161290322581,1.1646825396825395,2.848928687649981,0,0.11331444759206799
L214,420,138,0.32857142857142857,1,3.1386188960590755,0.14285714285714285,0.391304347826087
L215,446,115,0.257847533632287,NA,3.0582481838889404,0.4666666666666667,0.49640287769784175
L216,460,89,0.1934782608695652,NA,3.121004727254727,NA,0.5048543689320388
L217,96,22,0.22916666666666666,1.2306762021047735,2.9805748659553006,NA,0.5
L218,520,250,0.4807692307692308,NA,2.8958314255189257,NA,0.05190311418685121
L219,500,205,0.41,2.8614087002322295,2.863942905384943,0.18181818181818182,0.12341772151898735
L220,70,20,0.2857142857142857,2.857142857142857,3.1949305031318604,NA,0.5
L221,630,206,0.326984126984127,1.6559523809523808,2.8645925101621303,0.16455696202531644,0.30612244897959184
L222,413,106,0.2566585956416465,2.518729573819394,3.0246579324691307,NA,0.5114503816793893
L223,299,107,0.35785953177257523,1.6913419913419914,3.135368032868033,0.3333333333333333,0.2962962962962963
L224,431,82,0.1902552204176334,3.0828684136376445,2.9872341547341548,0.5161290322580645,0.5408163265306123
L225,430,84,0.19534883720930232,2.375294117647059,2.8252078220326196,0.2222222222222222,0.45098039215686275
L227,450,139,0.3088888888888889,NA,3.0642279449522443,NA,0.45569620253164556
L228,400,84,0.21,1.1043956043956045,3.0109439619520266,0.39285714285714285,0.40594059405940597
L229,440,102,0.2318181818181818,1.0714285714285714,2.935650146810861,0.34782608695652173,0.6666666666666666
L230,670,122,0.18208955223880596,5,3.0155244895751223,0.46153846153846156,0.5384615384615384
L231,420,82,0.19523809523809524,1.326249132131485,3.0694048406803613,0.6842105263157895,0.3958333333333333
L232,420,98,0.23333333333333334,3.1333333333333333,2.958995279146141,0.6666666666666666,0.47794117647058826
L233,390,91,0.23333333333333334,1.0178571428571428,3.1171594944495706,0.5714285714285714,0.514018691588785
L234,334,61,0.18263473053892215,1.7818067963596895,2.9167726747889793,NA,0.5
L235,399,132,0.3308270676691729,NA,3.2716245993589745,0.5172413793103449,0.38181818181818183
L236,589,156,0.26485568760611206,1.9145394374451365,3.0080094171979916,NA,0.574468085106383
L237,430,125,0.29069767441860467,1.5423809523809524,3.094330710963315,NA,0.5
L239,76,21,0.27631578947368424,4.81864406779661,3.046030074391027,NA,0.8275862068965517
L240,377,147,0.38992042440318303,3.558058608058608,3.025856788530966,NA,0.49122807017543857
L241,620,178,0.2870967741935484,1.5,2.9788041092204307,0.3333333333333333,0.43722943722943725
L242,71,24,0.3380281690140845,2.998236331569665,3.0060933730903243,0.375,0.5555555555555556
L243,143,41,0.2867132867132867,3.293797693242754,3.040690039964995,NA,0.9516129032258065
L244,570,130,0.22807017543859648,NA,3.1371289704036185,0.4666666666666667,0.6103896103896104
L245,480,112,0.23333333333333334,NA,3.065769279739868,0.6,0.6223776223776224
L246,650,162,0.24923076923076923,NA,2.9854593451815674,NA,0.45410628019323673
L247,51,9,0.17647058823529413,1.3929142857142858,3.008664071963627,NA,0.5
L248,230,40,0.17391304347826086,NA,3.079458450046685,NA,0.43137254901960786
L250,139,39,0.2805755395683453,4.6,2.942336890162977,NA,0.6086956521739131
L252,410,104,0.25365853658536586,1.5442728442728442,2.9821974017154185,0.5,0.4435483870967742
L253,86,22,0.2558139534883721,4.450156347717323,3.1396015302672793,NA,0.5769230769230769
L254,410,73,0.17804878048780487,2.7310235433616192,3.042894954503121,NA,0.5882352941176471
L255,430,172,0.4,4.358974358974359,2.964379370629371,NA,0.2
L256,75,20,0.26666666666666666,3.28931475029036,2.965349023631295,NA,0.7241379310344828
L257,343,136,0.3965014577259475,NA,2.9344134643824087,0.5217391304347826,0.4019138755980861
L258,368,86,0.23369565217391305,NA,3.0427536969203635,NA,0.39316239316239315
M1,203,62,0.3054187192118227,1.8906832298136647,2.9217652859960555,NA,0.5185185185185185
M10,430,90,0.20930232558139536,1.3196699134199135,2.964009252616234,0.42857142857142855,0.3644859813084112
M100,27,9,0.3333333333333333,3.034126984126984,2.8883875979541616,NA,0.14285714285714285
M11,428,96,0.22429906542056074,1.215047619047619,2.9168124732410448,NA,0.4369747899159664
M12,620,133,0.21451612903225806,1.6371428571428572,3.0833559004616578,0.5405405405405406,0.5329341317365269
M13,500,126,0.252,1.0871833839918945,3.003559221577017,0.8,0.44936708860759494
M14,160,24,0.15,4.590817865607781,3.092747932849497,NA,0.8518518518518519
M15,67,1,0.014925373134328358,4.77013167013167,3.081964283099349,NA,1
M16,490,149,0.3040816326530612,NA,3.0441964285714285,0.38461538461538464,0.44
M17,400,116,0.29,4.008225108225108,3.1464528222931585,0.8,0.950354609929078
M18,439,76,0.17312072892938496,2.8750204568045645,3.0047255794091026,NA,0.5408163265306123
M19,400,158,0.395,1.5593582887700534,3.0330327791866254,NA,0.2966507177033493
M2,400,98,0.245,3.6803663003663,3.0515855978646678,NA,0.6328125
M20,276,85,0.3079710144927536,1.15,3.0231237461047766,NA,0.5942028985507246
M21,400,99,0.2475,4.677570093457944,3.05781750468085,NA,0.5923076923076923
M22,214,41,0.19158878504672897,1.4160671462829737,3.0375679635564397,NA,0.3389830508474576
M23,666,116,0.17417417417417416,2.384679089026915,2.994106847744619,NA,0.48120300751879697
M24,620,105,0.1693548387096774,1.9744298712040647,3.013410426369075,NA,0.30327868852459017
M25,620,202,0.3258064516129032,1.0357142857142856,2.9172895119586295,0.5789473684210527,0.46835443037974683
M26,400,90,0.225,4.564325529542921,3.061512081039523,NA,0.5655737704918032
M27,540,110,0.2037037037037037,1.454735740450026,2.987953722008997,0.5714285714285714,0.518796992481203
M28,420,86,0.20476190476190476,3.055486542443064,3.0816878180816234,0.4117647058823529,0.4864864864864865
M29,539,116,0.21521335807050093,2.031070889894419,2.96302744952778,NA,0.3790849673202614
M3,1290,321,0.24883720930232558,NA,2.9861676784753706,0.4576271186440678,0.3788659793814433
M30,430,149,0.34651162790697676,4.518331543143573,3.0382618796558316,NA,0.6759259259259259
M31,480,125,0.2604166666666667,2.76,2.954368928173276,0.3333333333333333,0.4523809523809524
M32,420,94,0.22380952380952382,NA,3.0409290335567425,NA,0.5470085470085471
M33,390,104,0.26666666666666666,1.6459307609683549,2.9625567755862283,NA,0.1276595744680851
M34,166,55,0.3313253012048193,2.2458823529411767,3.001983018881717,NA,0.5064935064935064
M35,649,170,0.26194144838212635,1.2962585034013605,2.9570452889780623,0.3333333333333333,0.37264150943396224
