word,ci_lower,ci_upper,mean,n,gender_bias
able,2.2,3,2.6,10,neither
aboard,2.4285714285714284,3,2.7142857142857144,14,neither
above,2.8,3.4,3.1,10,neither
absolutely,2.2857142857142856,3.357142857142857,2.857142857142857,14,neither
accident,2.642857142857143,3.4285714285714284,3,14,neither
across,2.7857142857142856,3,2.9285714285714284,14,neither
act (part of a play),3,3.3846153846153846,3.1538461538461537,13,f
act (to take action),2.3076923076923075,2.8461538461538463,2.6153846153846154,13,m
adopted,3,3.533333333333333,3.2,15,f
adventure,2.3846153846153846,3.1538461538461537,2.769230769230769,13,neither
afraid,2.857142857142857,3.2857142857142856,3.0714285714285716,14,neither
after,2.5833333333333335,3,2.8333333333333335,12,neither
afternoon,2.9,3.7,3.3,10,neither
again,2.7,3,2.9,10,neither
against,2.357142857142857,3.142857142857143,2.7857142857142856,14,neither
ago,3,3.5,3.2,10,f
agree,3,3.3846153846153846,3.1538461538461537,13,f
ah,2.6,3.602499999999998,3.1,10,neither
ahead,2.7857142857142856,3.2142857142857144,3,14,neither
air,3,3.4285714285714284,3.2142857142857144,14,f
airplanes,2.5,3.0714285714285716,2.7857142857142856,14,neither
airport,2.4285714285714284,3,2.7142857142857144,14,neither
AJ,1.5714285714285714,2.35892857142857,2,14,m
Al,1.2288461538461557,2.1538461538461537,1.6153846153846154,13,m
Alan,1,1.3,1.1,10,m
alarm,2.6470588235294117,3.1176470588235294,2.8823529411764706,17,neither
Alexander,1.1,1.8,1.4,10,m
alice,4.785714285714286,5,4.928571428571429,14,f
alive,2.8666666666666667,3.466666666666667,3.1333333333333333,15,neither
all,2.7142857142857144,3.142857142857143,2.9285714285714284,14,neither
alley,1.9166666666666667,3.1666666666666665,2.5833333333333335,12,neither
alligator,1.5714285714285714,2.4285714285714284,2,14,m
allowed,2.7142857142857144,3.4285714285714284,3.0714285714285716,14,neither
almost,2.7,3.3,3,10,neither
alone,2.857142857142857,3.5714285714285716,3.2142857142857144,14,neither
along,2.857142857142857,3.2857142857142856,3.0714285714285716,14,neither
aloud,2.5,3.142857142857143,2.7857142857142856,14,neither
alphabet,2.5714285714285716,3.2142857142857144,2.9285714285714284,14,neither
already,3,3.357142857142857,3.142857142857143,14,f
also,3,3,3,10,f
although,3,3.3333333333333335,3.1333333333333333,15,f
always,2.8,3.6,3.2,15,neither
am,3,3.2142857142857144,3.0714285714285716,14,f
amazed,3.076923076923077,3.6153846153846154,3.3076923076923075,13,f
amazing,3.230769230769231,3.923076923076923,3.5384615384615383,13,f
amble,2.7142857142857144,3.2874999999999983,3,14,neither
ambulance,2.357142857142857,3.0714285714285716,2.7142857142857144,14,neither
Amelia,4.7,5,4.9,10,f
american,3,3,3,14,f
among,2.6153846153846154,3,2.8461538461538463,13,neither
Amos,1.4,2.4,1.9,10,m
and,3,3.2142857142857144,3.0714285714285716,14,f
Angelina,4.823529411764706,5,4.9411764705882355,17,f
angry,1.6428571428571428,2.357142857142857,2,14,m
animal,2.4,2.8666666666666667,2.6666666666666665,15,m
animals,2.357142857142857,3.142857142857143,2.7857142857142856,14,neither
ankle,2.9166666666666665,3.75,3.3333333333333335,12,neither
Anna,4.785714285714286,5,4.928571428571429,14,f
Annabelle,5,5,5,10,f
Annie,5,5,5,14,f
announced,2.1333333333333333,2.8,2.466666666666667,15,m
annual,2.6923076923076925,3.3076923076923075,3,13,neither
another,2.7,3.3,3,10,neither
answer,2.8125,3.4390624999999986,3.125,16,neither
answered,2.7142857142857144,3.142857142857143,2.9285714285714284,14,neither
answers,3,3.3846153846153846,3.1538461538461537,13,f
antique,3.0714285714285716,3.7857142857142856,3.4285714285714284,14,f
Antonio,1,1.2142857142857142,1.0714285714285714,14,m
anxious,2.9285714285714284,3.7142857142857144,3.2857142857142856,14,neither
any,2.7,3,2.9,10,neither
anybody,3,3.3846153846153846,3.1538461538461537,13,f
anymore,3,3.357142857142857,3.142857142857143,14,f
anyone,2.3333333333333335,3.25,2.8333333333333335,12,neither
anything,3,3.230769230769231,3.076923076923077,13,f
anyway,3,3.3846153846153846,3.1538461538461537,13,f
anywhere,2.769230769230769,3,2.923076923076923,13,neither
apart,2.5294117647058822,3,2.764705882352941,17,neither
apartment,2.8,3.3333333333333335,3.066666666666667,15,neither
Apgar,1.8,2.8,2.3,10,m
aphids,2.0833333333333335,2.8333333333333335,2.5,12,m
appeared,2.5,3.2857142857142856,2.9285714285714284,14,neither
apple,2.6666666666666665,3.8666666666666667,3.2666666666666666,15,neither
apples,3.142857142857143,3.642857142857143,3.357142857142857,14,f
April,4.5,5,4.785714285714286,14,f
Arabella,4.066666666666666,4.866666666666666,4.466666666666667,15,f
archduke,1,1.7692307692307692,1.3076923076923077,13,m
armchair,2.1538461538461537,2.923076923076923,2.5384615384615383,13,m
arms,2.4285714285714284,3,2.7142857142857144,14,neither
Arnie,1,1.9,1.4,10,m
around,2.466666666666667,3,2.8,15,neither
arrived,2.5714285714285716,3.142857142857143,2.857142857142857,14,neither
art,3.0714285714285716,3.7874999999999983,3.4285714285714284,14,f
Arthur,1,1,1,10,m
ask,2.8333333333333335,3.5,3.1666666666666665,12,neither
asked,2.6,3.2,2.9,10,neither
asking,2.857142857142857,3.357142857142857,3.0714285714285716,14,neither
asleep,2.5,3,2.75,12,neither
asphalt,2.0714285714285716,2.5,2.2857142857142856,14,m
ate,2,2.857142857142857,2.4285714285714284,14,m
attention,2.3076923076923075,3.1538461538461537,2.769230769230769,13,neither
aunt,4.470588235294118,5,4.764705882352941,17,f
australia,2.6,3.466666666666667,3.066666666666667,15,neither
auto,1.3333333333333333,2.4166666666666665,1.8333333333333333,12,m
awake,2.642857142857143,3,2.857142857142857,14,neither
away,2.857142857142857,3.4285714285714284,3.142857142857143,14,neither
awful,2.0714285714285716,2.9285714285714284,2.5,14,m
axe,1.1428571428571428,1.6428571428571428,1.3571428571428572,14,m
Babar,1.6975000000000022,2.7,2.2,10,m
babies,3.6666666666666665,4.466666666666667,4.066666666666666,15,f
baby,3.7316666666666682,4.4,4.066666666666666,15,f
back,2.3333333333333335,2.933333333333333,2.6666666666666665,15,m
backwards,2.3846153846153846,2.8461538461538463,2.6153846153846154,13,m
backyard,1.9230769230769231,2.6923076923076925,2.3076923076923075,13,m
bad,2.0650000000000017,2.933333333333333,2.466666666666667,15,m
bag,2.9285714285714284,3.642857142857143,3.2857142857142856,14,neither
baked,2.857142857142857,4,3.4285714285714284,14,neither
baker,3.0714285714285716,3.7142857142857144,3.357142857142857,14,f
bakery,3.357142857142857,4,3.642857142857143,14,f
ball,2.1875,3.125,2.625,16,neither
balloon,2.6666666666666665,3.533333333333333,3.1333333333333333,15,neither
balls,1.3846153846153846,2.230769230769231,1.7692307692307692,13,m
band (music),2,2.857142857142857,2.4285714285714284,14,m
bang,1.7857142857142858,2.7857142857142856,2.2857142857142856,14,m
banged,2.0588235294117645,2.823529411764706,2.4705882352941178,17,m
bank,2.2,2.7333333333333334,2.466666666666667,15,m
bar (candy),2.7857142857142856,3.357142857142857,3.0714285714285716,14,neither
barber,1,1.4166666666666667,1.1666666666666667,12,m
bark (tree),1.6428571428571428,2.5,2.0714285714285716,14,m
barn,2.3,2.9,2.6,10,m
basket,3.4,4,3.7,10,f
bat (animal),2.1,2.6,2.3,10,m
bat (baseball),1.426785714285716,1.8571428571428572,1.6428571428571428,14,m
bath,3.2666666666666666,4.266666666666667,3.8,15,f
bathroom,3,3.7857142857142856,3.357142857142857,14,f
bats (animals),2,2.4,2.2,15,m
batter,1.9285714285714286,3.2857142857142856,2.5714285714285716,14,neither
battle,1.3,1.9,1.6,10,m
beach,2.923076923076923,3.5384615384615383,3.230769230769231,13,neither
bean (food),2.357142857142857,2.857142857142857,2.642857142857143,14,m
beans,2.466666666666667,3.2,2.8,15,neither
bear (animal),1.6,2.4,2,15,m
beard,1,1.7333333333333334,1.3333333333333333,15,m
bears,1.8975000000000022,2.8,2.3,10,m
beautiful,4.266666666666667,4.866666666666666,4.6,15,f
became,2.797500000000002,3.3,3,10,neither
