run,subj_id,question_name,response_str
run4,P_da_1,gender,male
run4,P_da_2,gender,male
run4,P_da_3,gender,female
run4,P_da_4,gender,male
run4,P_da_5,gender,female
run4,P_da_6,gender,female
run4,P_da_7,gender,male
run4,P_da_8,gender,male
run4,P_da_9,gender,male
run4,P_da_10,gender,male
run4,P_da_11,gender,NA
run4,P_da_12,gender,female
run4,P_da_13,gender,male
run4,P_da_14,gender,male
run4,P_da_15,gender,male
run4,P_da_16,gender,male
run4,P_da_17,gender,female
run4,P_da_18,gender,female
run4,P_da_19,gender,female
run4,P_da_20,gender,male
run4,P_da_21,gender,male
run4,P_da_22,gender,male
run4,P_da_23,gender,female
run4,P_da_24,gender,male
run4,P_da_25,gender,female
run4,P_da_26,gender,female
run4,P_da_27,gender,male
run4,P_da_28,gender,male
run4,P_da_29,gender,female
run4,P_da_30,gender,male
run4,P_da_31,gender,male
run4,P_da_32,gender,female
run4,P_da_33,gender,female
run4,P_da_34,gender,male
run4,P_da_1,native,1
run4,P_da_2,native,1
run4,P_da_3,native,1
run4,P_da_4,native,1
run4,P_da_5,native,1
run4,P_da_6,native,1
run4,P_da_7,native,1
run4,P_da_8,native,1
run4,P_da_9,native,1
run4,P_da_10,native,1
run4,P_da_11,native,1
run4,P_da_12,native,1
run4,P_da_13,native,1
run4,P_da_14,native,1
run4,P_da_15,native,1
run4,P_da_16,native,1
run4,P_da_17,native,1
run4,P_da_18,native,1
run4,P_da_19,native,1
run4,P_da_20,native,0
run4,P_da_21,native,1
run4,P_da_22,native,1
run4,P_da_23,native,1
run4,P_da_24,native,1
run4,P_da_25,native,1
run4,P_da_26,native,1
run4,P_da_27,native,1
run4,P_da_28,native,1
run4,P_da_29,native,1
run4,P_da_30,native,1
run4,P_da_31,native,1
run4,P_da_32,native,1
run4,P_da_33,native,1
run4,P_da_34,native,1
run4,P_da_1,age,36
run4,P_da_2,age,31
run4,P_da_3,age,NA
run4,P_da_4,age,38
run4,P_da_5,age,25
run4,P_da_6,age,36
run4,P_da_7,age,31
run4,P_da_8,age,32
run4,P_da_9,age,53
run4,P_da_10,age,27
run4,P_da_11,age,35
run4,P_da_12,age,55
run4,P_da_13,age,36
run4,P_da_14,age,41
run4,P_da_15,age,26
run4,P_da_16,age,25
run4,P_da_17,age,44
run4,P_da_18,age,32
run4,P_da_19,age,NA
run4,P_da_20,age,28
run4,P_da_21,age,43
run4,P_da_22,age,36
run4,P_da_23,age,48
run4,P_da_24,age,NA
run4,P_da_25,age,35
run4,P_da_26,age,37
run4,P_da_27,age,37
run4,P_da_28,age,31
run4,P_da_29,age,23
run4,P_da_30,age,30
run4,P_da_31,age,49
run4,P_da_32,age,53
run4,P_da_33,age,58
run4,P_da_34,age,53
run4,P_da_1,education,5
run4,P_da_2,education,5
run4,P_da_3,education,5
run4,P_da_4,education,5
run4,P_da_5,education,3
run4,P_da_6,education,5
run4,P_da_7,education,4
run4,P_da_8,education,4
run4,P_da_9,education,3
run4,P_da_10,education,5
run4,P_da_11,education,3
run4,P_da_12,education,3
run4,P_da_13,education,5
run4,P_da_14,education,3
run4,P_da_15,education,5
run4,P_da_16,education,4
run4,P_da_17,education,2
run4,P_da_18,education,5
run4,P_da_19,education,2
run4,P_da_20,education,5
run4,P_da_21,education,5
run4,P_da_22,education,2
run4,P_da_23,education,5
run4,P_da_24,education,5
run4,P_da_25,education,5
run4,P_da_26,education,4
run4,P_da_27,education,5
run4,P_da_28,education,5
run4,P_da_29,education,5
run4,P_da_30,education,2
run4,P_da_31,education,5
run4,P_da_32,education,2
run4,P_da_33,education,4
run4,P_da_34,education,5
run4,P_da_1,languages,none
run4,P_da_2,languages,none
run4,P_da_3,languages,none
run4,P_da_4,languages,none
run4,P_da_5,languages,none
run4,P_da_6,languages,none
run4,P_da_7,languages,none
run4,P_da_8,languages,none
run4,P_da_9,languages,none
run4,P_da_10,languages,none
run4,P_da_11,languages,none
run4,P_da_12,languages,none
run4,P_da_13,languages,spanish
run4,P_da_14,languages,NA
run4,P_da_15,languages,none
run4,P_da_16,languages,none
run4,P_da_17,languages,bone
run4,P_da_18,languages,none
run4,P_da_19,languages,english
run4,P_da_20,languages,chinese
run4,P_da_21,languages,none
run4,P_da_22,languages,none
run4,P_da_23,languages,none
run4,P_da_24,languages,"english, mandarin, spanish"
run4,P_da_25,languages,none
run4,P_da_26,languages,none
run4,P_da_27,languages,none
run4,P_da_28,languages,none
run4,P_da_29,languages,none
run4,P_da_30,languages,none
run4,P_da_31,languages,none
run4,P_da_32,languages,none
run4,P_da_33,languages,NA
run4,P_da_34,languages,none
run4,P_da_1,comments,NA
run4,P_da_2,comments,i have a master's degree which wasn't an option
run4,P_da_3,comments,NA
run4,P_da_4,comments,none
run4,P_da_5,comments,NA
run4,P_da_6,comments,NA
run4,P_da_7,comments,NA
run4,P_da_8,comments,NA
run4,P_da_9,comments,NA
run4,P_da_10,comments,NA
run4,P_da_11,comments,NA
run4,P_da_12,comments,NA
run4,P_da_13,comments,NA
run4,P_da_14,comments,NA
run4,P_da_15,comments,the number of attention checks seemed excessive.
run4,P_da_16,comments,NA
run4,P_da_17,comments,none
run4,P_da_18,comments,NA
run4,P_da_19,comments,the attention check that said can fish swim i accidently said strongly disagree
run4,P_da_20,comments,NA
run4,P_da_21,comments,NA
run4,P_da_22,comments,"one of the words was 'inpatient' - i didn't know if that was a typo for impatient, so i just selected the middle option"
run4,P_da_23,comments,NA
run4,P_da_24,comments,NA
run4,P_da_25,comments,NA
run4,P_da_26,comments,NA
run4,P_da_27,comments,NA
run4,P_da_28,comments,NA
run4,P_da_29,comments,NA
run4,P_da_30,comments,NA
run4,P_da_31,comments,NA
run4,P_da_32,comments,NA
run4,P_da_33,comments,NA
run4,P_da_34,comments,NA
