word,dom_po_s_subtlex
cannot,#N/A
gotta,#N/A
able,Adjective
afraid,Adjective
alive,Adjective
alone,Adjective
amazed,Adjective
amazing,Adjective
american,Adjective
angry,Adjective
annual,Adjective
antique,Adjective
anxious,Adjective
asleep,Adjective
awake,Adjective
awful,Adjective
bad,Adjective
baked,Adjective
beautiful,Adjective
best,Adjective
big,Adjective
bigger,Adjective
black,Adjective
blind,Adjective
blue,Adjective
bonny,Adjective
bored,Adjective
brave,Adjective
bright,Adjective
bumpy,Adjective
busy,Adjective
cardboard,Adjective
clean,Adjective
clear,Adjective
clever,Adjective
close,Adjective
cocky,Adjective
cold,Adjective
colder,Adjective
comfortable,Adjective
cozy,Adjective
crazy,Adjective
crisp,Adjective
crooked,Adjective
crowded,Adjective
curious,Adjective
cute,Adjective
dark,Adjective
dead,Adjective
dearest,Adjective
deep,Adjective
delicious,Adjective
delighted,Adjective
different,Adjective
difficult,Adjective
double,Adjective
dreadful,Adjective
dreary,Adjective
dry,Adjective
ducky,Adjective
dumb,Adjective
dusty,Adjective
easy,Adjective
electric,Adjective
empty,Adjective
enormous,Adjective
entire,Adjective
excellent,Adjective
extra,Adjective
eyed,Adjective
fabulous,Adjective
faint,Adjective
fair,Adjective
famous,Adjective
fancy,Adjective
fantastic,Adjective
fat,Adjective
favorite,Adjective
fluffy,Adjective
fond,Adjective
forlorn,Adjective
free,Adjective
french,Adjective
fresh,Adjective
fried,Adjective
friendly,Adjective
frightened,Adjective
froggy,Adjective
frosty,Adjective
full,Adjective
funny,Adjective
furious,Adjective
furry,Adjective
fuzzy,Adjective
gentle,Adjective
giant,Adjective
gigantic,Adjective
glad,Adjective
good,Adjective
gorgeous,Adjective
grand,Adjective
grassy,Adjective
gray,Adjective
great,Adjective
green,Adjective
grouchy,Adjective
grumpy,Adjective
hairy,Adjective
handsome,Adjective
handy,Adjective
happy,Adjective
hard,Adjective
heavy,Adjective
high,Adjective
higher,Adjective
hind,Adjective
honorable,Adjective
horrible,Adjective
hot,Adjective
huge,Adjective
hungry,Adjective
icy,Adjective
impatient,Adjective
important,Adjective
invisible,Adjective
jealous,Adjective
junior,Adjective
large,Adjective
larger,Adjective
late,Adjective
lazy,Adjective
likely,Adjective
little,Adjective
lonely,Adjective
loose,Adjective
lovely,Adjective
low,Adjective
lucky,Adjective
mad,Adjective
magical,Adjective
main,Adjective
marvelous,Adjective
merry,Adjective
mighty,Adjective
mobile,Adjective
naughty,Adjective
new,Adjective
nice,Adjective
noisy,Adjective
old,Adjective
older,Adjective
other,Adjective
perfect,Adjective
pickled,Adjective
pink,Adjective
plain,Adjective
pleased,Adjective
plump,Adjective
poached,Adjective
poky,Adjective
poor,Adjective
prettiest,Adjective
private,Adjective
proper,Adjective
proud,Adjective
public,Adjective
purple,Adjective
quick,Adjective
quiet,Adjective
rainy,Adjective
ready,Adjective
real,Adjective
red,Adjective
rich,Adjective
ridiculous,Adjective
rough,Adjective
round,Adjective
royal,Adjective
rubber,Adjective
rude,Adjective
sad,Adjective
safe,Adjective
scared,Adjective
scary,Adjective
scrambled,Adjective
sharp,Adjective
shining,Adjective
shiny,Adjective
short,Adjective
shy,Adjective
sick,Adjective
silent,Adjective
silly,Adjective
skinny,Adjective
slow,Adjective
small,Adjective
smaller,Adjective
smart,Adjective
smooth,Adjective
sneaky,Adjective
soft,Adjective
sore,Adjective
sorry,Adjective
special,Adjective
sticky,Adjective
stinky,Adjective
strange,Adjective
strangest,Adjective
striped,Adjective
strong,Adjective
super,Adjective
supposed,Adjective
sure,Adjective
surprised,Adjective
sweet,Adjective
tall,Adjective
tasty,Adjective
tender,Adjective
terrible,Adjective
thin,Adjective
tiny,Adjective
tired,Adjective
tough,Adjective
trashy,Adjective
TRUE,Adjective
ugly,Adjective
underground,Adjective
unhappy,Adjective
useful,Adjective
usual,Adjective
warm,Adjective
weak,Adjective
weary,Adjective
wee,Adjective
wet,Adjective
white,Adjective
whole,Adjective
wicked,Adjective
wide,Adjective
wild,Adjective
wise,Adjective
wonderful,Adjective
wooden,Adjective
worried,Adjective
worse,Adjective
wrong,Adjective
yellow,Adjective
young,Adjective
yummy,Adjective
aboard,Adverb
absolutely,Adverb
again,Adverb
ago,Adverb
ahead,Adverb
almost,Adverb
along,Adverb
aloud,Adverb
already,Adverb
also,Adverb
always,Adverb
anymore,Adverb
anyway,Adverb
anywhere,Adverb
apart,Adverb
around,Adverb
away,Adverb
back,Adverb
backwards,Adverb
below,Adverb
better,Adverb
brightly,Adverb
certainly,Adverb
closer,Adverb
completely,Adverb
course,Adverb
crossly,Adverb
down,Adverb
downstairs,Adverb
early,Adverb
else,Adverb
enough,Adverb
especially,Adverb
even,Adverb
ever,Adverb
everywhere,Adverb
exactly,Adverb
extremely,Adverb
far,Adverb
farther,Adverb
fast,Adverb
faster,Adverb
finally,Adverb
forever,Adverb
forth,Adverb
further,Adverb
gaily,Adverb
gracefully,Adverb
happily,Adverb
harder,Adverb
hardly,Adverb
here,Adverb
home,Adverb
immediately,Adverb
indeed,Adverb
indoors,Adverb
inside,Adverb
jolly,Adverb
just,Adverb
kindly,Adverb
later,Adverb
least,Adverb
long,Adverb
longer,Adverb
loud,Adverb
loudly,Adverb
luckily,Adverb
maybe,Adverb
meanwhile,Adverb
merrily,Adverb
most,Adverb
mostly,Adverb
nearby,Adverb
nearly,Adverb
