book_id,n_reviews_total,n_reviews_gendered,prop_review_gendered,addressee_gender_score_token
L101,304,68,0.2236842105263158,0.6707317073170732
L102,199,65,0.32663316582914576,0.49382716049382713
L103,300,64,0.21333333333333335,0.5394736842105263
L104,700,149,0.21285714285714286,0.5397727272727273
L105,31,3,0.0967741935483871,0
L106,106,37,0.3490566037735849,0.6730769230769231
L107,87,41,0.47126436781609193,0.14583333333333334
L108,106,45,0.42452830188679247,0.14285714285714285
L109,279,64,0.22939068100358423,0.7837837837837838
L110,34,6,0.17647058823529413,0.4444444444444444
L111,108,21,0.19444444444444445,0.32
L112,400,85,0.2125,0.6355140186915887
L113,79,23,0.2911392405063291,0.28125
L114,337,107,0.31750741839762614,0.49206349206349204
L115,520,141,0.27115384615384613,0.4076086956521739
L116,520,142,0.27307692307692305,0.467005076142132
L117,440,126,0.2863636363636364,0.43312101910828027
L118,432,107,0.24768518518518517,0.46825396825396826
L119,470,154,0.3276595744680851,0.5240641711229946
L120,318,108,0.33962264150943394,0.5251798561151079
L121,168,51,0.30357142857142855,0.4745762711864407
L122,490,144,0.2938775510204082,0.6416184971098265
L123,117,54,0.46153846153846156,0.5652173913043478
L124,640,199,0.3109375,0.4551971326164875
L125,400,117,0.2925,0.5732484076433121
L126,420,135,0.32142857142857145,0.5
L127,620,161,0.25967741935483873,0.5247524752475248
L128,145,42,0.2896551724137931,0.5283018867924528
L129,27,7,0.25925925925925924,0.4
L130,232,73,0.3146551724137931,0.4157303370786517
L131,9,NA,NA,NA
L132,390,117,0.3,0.46496815286624205
L133,134,46,0.34328358208955223,0.4807692307692308
L134,164,8,0.04878048780487805,0.3333333333333333
L136,190,58,0.30526315789473685,0.2
L138,440,143,0.325,0.41916167664670656
L139,430,152,0.35348837209302325,0.9679144385026738
L140,130,51,0.3923076923076923,0.3972602739726027
L141,430,138,0.3209302325581395,0.8863636363636364
L142,420,152,0.3619047619047619,0.9833333333333333
L143,390,80,0.20512820512820512,0.5
L144,11,3,0.2727272727272727,0.6666666666666666
L145,419,143,0.3412887828162291,0.3430232558139535
L146,410,132,0.32195121951219513,0.40804597701149425
L147,354,112,0.3163841807909605,0.460431654676259
L148,599,200,0.333889816360601,0.47280334728033474
L149,410,105,0.25609756097560976,0.904
L150,540,151,0.2796296296296296,0.3728813559322034
L151,560,157,0.28035714285714286,0.40540540540540543
L153,420,105,0.25,0.34328358208955223
L154,420,96,0.22857142857142856,0.5748031496062992
L155,334,83,0.24850299401197604,0.5648148148148148
