"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","workerId","qualtricsId","assignmentId","hitId","iso_identifier","responses","question_prompt","book_id","question_type","char_name","char_num","question_order","book_1","book_2","book_3"
"1632.129999808967","<img src='img/wisconsinlogo.png' alt='UW-Madison' style='display: block;margin: auto;'/><div style='width: 700px;' align = 'left'><p> The HIT you are about to do is sponsored by University of Wisconsin-Madison. You will complete a quick survey in which you will be shown some images, words, or hear some sounds and asked to make judgments about them. For example, you may be asked how typical a picture of a dog is of dogs in general, or to identify an ambiguous drawing, decide what word a sound makes you think of, to choose which visual pattern best completes a sequence of patterns, or indicate how vividly you see in your mind''s eye. HIT instructions will be provided on the next screen.    </p><p> This task has no anticipated risks nor direct benefits. If you have any questions or concerns about this HIT please contact the principal investigator: Dr. Gary Lupyan at lupyan@wisc.edu. If you are not satisfied with response of the research team, have more questions, or want to talk with someone about your rights as a research participant, you should contact University of Wisconsin's Education Research and Social and Behavioral Science IRB Office at 608-263-2320. You are free to decline to participate, to end participation at any time for any reason.  </p> <br> </div>","0","html-button-response","0","1635","0.0-0.0","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","","","","","","","","","",""
"843.1700000073761","<div style='width: 700px;' align = 'left'><p> In this experiment, you will be shown the text of three children's stories.</p><p> Your job is to carefully read the text and then answer questions about the main characters in the stories. </p><p> To begin, click the button below. </p> <br> ","0","html-button-response","1","3479","0.0-1.0","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","","","","","","","","","",""
"1552.6649998500943","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>There's a special star in the nighttime sky<br>that only grandmas see,<br>And when I heard that you'd be born,<br>it shone so bright for me.<br>My heart swelled up with love, my dear,<br>so before I went to bed<br>I wished upon that Grandma Star,<br>and is what I said:<br>Please let this child be healthy,<br>growing stronger every day.<br>And let this child be happy,<br>full of giggles when we play.<br>Let this child watch the world<br>with a thoughtful sort of mind.<br>And let this child bring us joy<br>with a tender heart that's kind.<br>No matter what, this special child<br>will brighten all our days.<br>I know for sure my love<br>will last forever and always<br>When I made my wish on the Grandma Star,<br>I made my wish for you.<br>When I first held you in my arms,<br>my Grandma Wish came true.<br>**Here's a special star**<br>**In the nighttime sky**<br>**That only grandmas see...**</p>","0","html-button-response","2","6033","0.0-2.0-0.0","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","","","","","","","","","",""
"1986.659999936819","","","survey-text","3","9026","0.0-2.0-1.0-0.0","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","{""A1"":""s"",""A2"":""s"",""A3"":"""",""A4"":"""",""A5"":""""}","<b> List 2-5 main activities GRANDMA does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","L185","activity","GRANDMA","0","","","",""
"1490.375000052154","","","survey-text","4","10522","0.0-2.0-1.0-1.0","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","{""D1"":""s"",""D2"":""s"",""D3"":"""",""D4"":"""",""D5"":""""}","<b> Use 2-5 words to describe GRANDMA in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","L185","description","GRANDMA","0","","","",""
"1675.1149999909103","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>If you give a moose a muffin, he'll want some jam to go with it.<br>So you'll bring out some of your mother's homemade blackberry jam.<br>When he's finished eating the muffin, he'll want another.<br>And another.<br>And another.<br>When they're all gone, he'll ask you to make more.<br>You'll have to go to the store to get some muffin mix.<br>He'll want to go with you.<br>When he opens the door and feels how chilly it is, he'll ask to borrow a sweater.<br>When he puts the sweater on, he'll notice one of the buttons is loose.<br>He'll ask for a needle and thread.<br>He'll start sewing.<br>The button will remind him of the puppets his grandmother used to make.<br>So he'll ask for some old socks.<br>He'll make sock puppets.<br>When they're done, he'll want to put on a puppet show.<br>He'll need some cardboard and paints.<br>Then he'll ask you to help make the scenery.<br>When the scenery is finished, he'll get behind the couch.<br>But his antlers will stick out.<br>So he'll ask for something to cover them up.<br>You'll bring him a sheet from your bed.<br>When he sees the sheet, he'll remember he wants to be a ghost for Halloween.<br>He'll try it on and shout, BOO!<br>It'll scare him so much; he'll knock over the paints.<br>So he'll use the sheet to clean up the mess.<br>Then he'll ask for some soap to wash it out.<br>He'll probably want to hang the sheet up to dry.<br>He'll go outside to put it on the clothesline.<br>When he's out in the yard, he'll see your mother's blackberry bushes.<br>Seeing the blackberries will remind him of her jam.<br>He'll probably ask you for some.<br>And chances are. . . if you give him the jam, he'll want a muffin to go with it.</p>","0","html-button-response","5","12198","0.0-2.0-0.1","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","","","","","","","","","",""
"3152.2549998480827","","","survey-text","6","16361","0.0-2.0-1.1-0.1","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","{""A1"":""s"",""A2"":""s"",""A3"":"""",""A4"":"""",""A5"":""""}","<b> List 2-5 main activities MOOSE does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","M85","activity","MOOSE","0","","","",""
"2122.4099998362362","","","survey-text","7","18487","0.0-2.0-1.1-1.1","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","{""D1"":""s"",""D2"":""s"",""D3"":"""",""D4"":"""",""D5"":""""}","<b> Use 2-5 words to describe MOOSE in the story.</b> <br> <p style=""font-style: italic;"">An example of a description word is ""pretty"", ""loud"", or ""clever."" To help answer these questions, you can reference the story below.</p>","M85","description","MOOSE","0","","","",""
"1011.604999890551","<p style='font-style: italic;'> Carefully read the story below. When you have finished, click the `Answer questions` button.  <p><div style='width: 700px;' align = 'left'><p>I love my mommy because...<br>she reads me stories.<br>**Cat and Kitten** She listens when I talk.<br>**Sheep and Lamb** She feeds me when I'm hungry.<br>**Deer and Fawn** She keeps me nice and clean.<br>**Koala bear and Joey** She takes me for a ride.<br>**Sea Lion and Pup** **Bottlenose dolphin and calf** I love my mommy because<br>**Gray Whale and Calf** she swims with me.<br>**Panda and Cub** She gives me great big hugs.<br>**Polar Bear and Cub** She keeps me safe and warm.<br>**Hen and Chicks** She takes me for a walk.<br>**Pig and Piglets** She lets me play in the mud.<br>**Elephant and Calf** She is big and strong.<br>**Alligator and Young** She comes when I call.<br>**Raccoon and Cub** **Skunk and Young** **Deer and Fawn** I love my mommy because<br>**Great Horned OWL and Chicks** she is not afraid of the dark.<br>**Kangaroo and Joey** She tucks me in.<br>**Sea Otter and Pup** She rocks me to sleep.<br>I love my mommy, and my mommy loves me.</p>","0","html-button-response","8","19499","0.0-2.0-0.2","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","","","","","","","","","",""
"2076.064999913797","","","survey-text","9","22582","0.0-2.0-1.2-0.2","p819773","NA","","","Wed Sep 16 2020 12:22:58 GMT-0400 (Eastern Daylight Time)","{""A1"":""s"",""A2"":""s"",""A3"":"""",""A4"":"""",""A5"":""""}","<b> List 2-5 main activities MOMMY does in the story.</b> <br> <p style=""font-style: italic;""> An example of an activity is ""run"", ""play"", or ""eat."" To help answer these questions, you can reference the story below.</p>","L159","activity","MOMMY","0","","","",""
